Товар;Единица измерения;Вес ЕдИзм(Кг);Группа товаров;Количество;Цена;Предоплата;Продавец;Город;Банк
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;21;20,23;0,9;СибАтом;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;44;35,5;0,9;СибАтом;Ангарск;Надежный
Пшено;Мешок;50;Крупы;48;292,22;0,9;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;29;128,47;0,9;СибАтом;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;19;67,31;0,9;СибАтом;Ангарск;Надежный
Гречка;Мешок;50;Крупы;48;394,68;0,3;СибАтом;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;23;54,77;0,3;СибАтом;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;7;35,33;0,3;СибАтом;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;15;380;0,3;СибАтом;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;276;355,23;0,3;СибАтом;Ангарск;Надежный
Рис;Мешок;50;Крупы;6;452,1;0,3;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;19;101,92;0,3;СибАтом;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;28;90,45;0,3;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;18;168,16;0,3;СибАтом;Ангарск;Надежный
Сигареты Петр 1;Блок;0,2;Табачные изделия;33;49,03;0,3;СибАтом;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;9;36,19;0,6;СибАтом;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;9;17,9;0,6;СибАтом;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;23;574,38;0,6;СибАтом;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;127;202,11;0,6;СибАтом;Ангарск;Надежный
Пшено;Мешок;50;Крупы;5;254,68;0,6;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;190;95,36;0,6;СибАтом;Ангарск;Надежный
Гречка;Мешок;50;Крупы;37;169,8;0,2;СибАтом;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;40;56,49;0,2;СибАтом;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;21;19,88;0,2;СибАтом;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;37;594,52;0,2;СибАтом;Ангарск;Надежный
Крупа перловая;Мешок;50;Крупы;18;210,49;0,2;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;18;220,14;0,2;СибАтом;Ангарск;Надежный
Сигареты LM;Блок;0,2;Табачные изделия;23;132;0,2;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;39;142,42;0,2;СибАтом;Ангарск;Надежный
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;6;54,36;0,8;СибАтом;Ангарск;Надежный
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;64;34,97;0,8;СибАтом;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;18;76,85;0,8;СибАтом;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;45;477,74;0,8;СибАтом;Ангарск;Надежный
Пшено;Мешок;50;Крупы;77;378,95;0,8;СибАтом;Ангарск;Надежный
Рис;Мешок;50;Крупы;186;250,5;0,8;СибАтом;Ангарск;Надежный
Сигареты Fine Line;Блок;0,2;Табачные изделия;7;86,78;0,8;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;15;170,83;0,8;СибАтом;Ангарск;Надежный
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;47;24,6;1;СибАтом;Ангарск;Надежный
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;9;47,55;1;СибАтом;Ангарск;Надежный
Крупа манная;Мешок;50;Крупы;7;258,36;1;СибАтом;Ангарск;Надежный
Овсянка;Мешок;20;Крупы;24;197,75;1;СибАтом;Ангарск;Надежный
Рис;Мешок;50;Крупы;6;498,02;1;СибАтом;Ангарск;Надежный
Сигареты MarlBoro;Блок;0,2;Табачные изделия;6;191,98;1;СибАтом;Ангарск;Надежный
Гречка;Мешок;50;Крупы;9;221,02;0,3;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;10;25,89;0,3;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;14;70,56;0,3;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;9;160,93;0,3;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;15;266,84;0,3;Вест;Шелехов;Универсал
Рис;Мешок;50;Крупы;17;314,71;0,3;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;36;303,48;0,9;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;60;22,34;0,9;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;17;43,48;0,9;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;24;10,9;0,9;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;67;506,58;0,9;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;98;455,92;0,9;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;177;308,53;0,9;Вест;Шелехов;Универсал
Рис;Мешок;50;Крупы;14;325,76;0,9;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;14;196,4;0,9;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;158;95,14;0,9;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;18;74,07;0,9;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;16;46,01;0,9;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;18;241,64;0,8;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;20;19,16;0,8;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;268;15,58;0,8;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;10;41,78;0,8;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;49;149,1;0,8;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;16;320,55;0,8;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;31;208,9;0,8;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;5;117,57;0,8;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;15;44,1;0,8;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;13;31,88;0,3;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;10;241,1;0,3;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;82;178,93;0,3;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;31;241,03;0,3;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;63;265,55;0,3;Вест;Шелехов;Универсал
Рис;Мешок;50;Крупы;236;272,94;0,3;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;37;182,19;0,3;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;17;168,37;0,3;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;23;116,09;0,3;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;70;53,53;0,5;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;9;25,01;0,5;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;24;36,78;0,5;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;180;360,12;0,5;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;74;347,36;0,5;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;129;96,93;0,5;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;89;142,36;0,5;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;167;179,11;0,5;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;78;90,85;0,5;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;41;26,62;0,8;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;37;20,41;0,8;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;15;77,04;0,8;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;17;308,49;0,8;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;5;259,32;0,8;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;8;479,96;0,8;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;29;114,57;0,8;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;14;76,03;0,8;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;68;165,06;0,8;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;66;78,49;0,8;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;17;412,79;0,3;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;24;10,88;0,3;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;145;305,18;0,3;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;111;180,45;0,3;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;12;191,98;0,3;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;26;208,53;0,1;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;16;26,78;0,1;Вест;Шелехов;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;66;16,86;0,1;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;8;32,1;0,1;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;16;166,91;0,1;Вест;Шелехов;Универсал
Рис;Мешок;50;Крупы;10;327,14;0,1;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;32;165,66;0,1;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;14;52,98;0,1;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;8;181,98;1;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;17;61,42;1;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;44;554,66;1;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;123;283,56;1;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;46;202,38;1;Вест;Шелехов;Универсал
Рис;Мешок;50;Крупы;10;292,62;1;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;5;74,21;1;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;80;322,22;0,5;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;128;87,23;0,5;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;21;280,23;0,5;Вест;Шелехов;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;41;115,98;0,5;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;17;96,41;0,5;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;28;36,67;0,5;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;19;157,93;0,7;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;11;16,72;0,7;Вест;Шелехов;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;20;73,32;0,7;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;26;368,08;0,7;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;70;110,47;0,7;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;97;417,79;0,7;Вест;Шелехов;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;7;39,32;0,7;Вест;Шелехов;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;30;47,56;0,7;Вест;Шелехов;Универсал
Крупа манная;Мешок;50;Крупы;20;258,36;0,7;Вест;Шелехов;Универсал
Крупа перловая;Мешок;50;Крупы;275;308,88;0,7;Вест;Шелехов;Универсал
Овсянка;Мешок;20;Крупы;6;462,95;0,7;Вест;Шелехов;Универсал
Пшено;Мешок;50;Крупы;18;275,13;0,7;Вест;Шелехов;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;14;65,42;0,7;Вест;Шелехов;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;21;221,13;0,7;Вест;Шелехов;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;7;34,43;0,7;Вест;Шелехов;Универсал
Гречка;Мешок;50;Крупы;9;432,16;0,7;Норд;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;11;27,87;0,7;Норд;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;146;22,65;0,7;Норд;Иркутск;Универсал
Пшено;Мешок;50;Крупы;89;308,53;0,7;Норд;Иркутск;Универсал
Рис;Мешок;50;Крупы;6;453,83;0,7;Норд;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;49;91,56;0,7;Норд;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;25;86,65;0,7;Норд;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;28;89,99;0,7;Норд;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;45;586,71;0,2;Норд;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;18;229,48;0,2;Норд;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;19;290,22;0,2;Норд;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;19;154,55;0,2;Норд;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;41;175,27;0,2;Норд;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;22;95,38;0,2;Норд;Иркутск;Универсал
Гречка;Мешок;50;Крупы;14;424,98;0,3;Норд;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;7;34,77;0,3;Норд;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;22;81,4;0,3;Норд;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;10;542,33;0,3;Норд;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;35;225,92;0,3;Норд;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;91;49,47;0,6;Норд;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;36;476,16;0,6;Норд;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;44;489,21;0,6;Норд;Иркутск;Универсал
Рис;Мешок;50;Крупы;148;282,95;0,6;Норд;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;74;154,19;0,6;Норд;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;9;123,48;0,6;Норд;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;20;95,65;0,6;Норд;Иркутск;Универсал
Гречка;Мешок;50;Крупы;86;391,24;0,7;Норд;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;9;47,04;0,7;Норд;Иркутск;Универсал
Пшено;Мешок;50;Крупы;58;161,99;0,7;Норд;Иркутск;Универсал
Рис;Мешок;50;Крупы;12;429,32;0,7;Норд;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;91;82,25;0,7;Норд;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;5;128,05;0,7;Норд;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;114;95,65;0,7;Норд;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;30;24,26;0,4;Норд;Иркутск;Универсал
Пшено;Мешок;50;Крупы;31;229,3;0,4;Норд;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;35;115,35;0,4;Норд;Иркутск;Универсал
Сигареты LM;Блок;0,2;Табачные изделия;19;91,44;0,4;Норд;Иркутск;Универсал
Гречка;Мешок;50;Крупы;237;449,96;0,1;Норд;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;120;450,68;0,1;Норд;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;20;325,4;0,1;Норд;Иркутск;Универсал
Овсянка;Мешок;20;Крупы;118;463,32;0,1;Норд;Иркутск;Универсал
Пшено;Мешок;50;Крупы;33;296,1;0,1;Норд;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;137;78,36;0,1;Норд;Иркутск;Универсал
Гречка;Мешок;50;Крупы;86;258,5;0,9;Норд;Иркутск;Универсал
"Конфеты ""Асорти""";Коробка;0,4;Кондитерские изделия;7;47,07;0,9;Норд;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;246;19;0,9;Норд;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;54;76,14;0,9;Норд;Иркутск;Универсал
Крупа манная;Мешок;50;Крупы;5;282,19;0,9;Норд;Иркутск;Универсал
Крупа перловая;Мешок;50;Крупы;9;220,85;0,9;Норд;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;21;190,65;0,9;Норд;Иркутск;Универсал
"Конфеты ""Ананасные""";Коробка;0,3;Кондитерские изделия;28;30,15;0,5;Норд;Иркутск;Универсал
"Конфеты ""Весна""";Коробка;0,5;Кондитерские изделия;30;20,95;0,5;Норд;Иркутск;Универсал
"Конфеты ""Визит""";Коробка;0,6;Кондитерские изделия;8;86,46;0,5;Норд;Иркутск;Универсал
Сигареты Fine Line;Блок;0,2;Табачные изделия;99;227,17;0,5;Норд;Иркутск;Универсал
Сигареты MarlBoro;Блок;0,2;Табачные изделия;93;157,36;0,5;Норд;Иркутск;Универсал
Сигареты Петр 1;Блок;0,2;Табачные изделия;54;86,58;0,5;Норд;Иркутск;Универсал
