Товар,Единица_измерения,Количество_в_упаковке,Группа_товаров,Количество,Цена,Предоплата,Продавец,Город,Банк,Сумма
Сигареты Fine Line,Блок,"0,2",Табачные изделия,14,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,38,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,52,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,19,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,23,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,41,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,22,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,162,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,36,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,9,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,180,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,114,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,45,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,40,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Рис,Мешок,50,Крупы,30,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,128,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,28,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,227,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,25,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,61,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,11,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,15,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,175,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Гречка,Мешок,50,Крупы,10,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,18,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,300,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,18,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,11,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,10,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,17,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,193,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Рис,Мешок,50,Крупы,20,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,10,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,39,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,22,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Пшено,Мешок,50,Крупы,221,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,65,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,12,0.0,0.0,Успех,Иркутск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,22,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,6,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,7,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,13,0.0,0.0,Успех,Иркутск,Богатырский,0.0
Гречка,Мешок,50,Крупы,61,380.0,0.0,СибАтом,Ангарск,Надежный,23180.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,20,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,161,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,43,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,41,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,22,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,38,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,14,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,18,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,23,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,22,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,68,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,28,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,12,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,23,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,9,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,21,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,44,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,48,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,29,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,19,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,48,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,23,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,7,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,15,380.0,0.0,СибАтом,Ангарск,Надежный,5700.0
Крупа перловая,Мешок,50,Крупы,276,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,6,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,19,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,28,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,18,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,33,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,9,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,9,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,23,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,127,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,5,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,190,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,37,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,40,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,21,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,37,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,18,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,18,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,23,132.0,0.0,СибАтом,Ангарск,Надежный,3036.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,39,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,6,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,64,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,18,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,45,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,77,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,186,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,7,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,15,0.0,0.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,47,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,9,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,7,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,24,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,6,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,6,0.0,1.0,СибАтом,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,29,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,11,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,138,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,76,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,8,0.0,0.0,Единство,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,9,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,14,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,66,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,43,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,17,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,277,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,34,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,15,0.0,0.0,Единство,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,23,0.0,0.0,Единство,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,6,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,20,0.0,0.0,Единство,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,23,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,63,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,15,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,36,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,18,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,56,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа перловая,Мешок,50,Крупы,129,0.0,0.0,Единство,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,11,0.0,0.0,Единство,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,16,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,70,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,21,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,19,0.0,0.0,Единство,Ангарск,Надежный,0.0
Крупа манная,Мешок,50,Крупы,15,0.0,0.0,Единство,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,20,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,147,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,67,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,24,0.0,1.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,23,0.0,1.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,165,0.0,1.0,Единство,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,18,0.0,1.0,Единство,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,185,0.0,1.0,Единство,Ангарск,Надежный,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,7,0.0,1.0,Единство,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,84,0.0,1.0,Единство,Ангарск,Надежный,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,18,0.0,1.0,Единство,Ангарск,Надежный,0.0
Гречка,Мешок,50,Крупы,9,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,64,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,167,0.0,0.0,Единство,Ангарск,Надежный,0.0
Овсянка,Мешок,20,Крупы,8,0.0,0.0,Единство,Ангарск,Надежный,0.0
Пшено,Мешок,50,Крупы,227,0.0,0.0,Единство,Ангарск,Надежный,0.0
Рис,Мешок,50,Крупы,13,0.0,0.0,Единство,Ангарск,Надежный,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,6,0.0,0.0,Единство,Ангарск,Надежный,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,33,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,13,228.0,0.0,Гермес,Ангарск,Богатырский,2964.0
Овсянка,Мешок,20,Крупы,137,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,183,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,5,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,24,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,42,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,59,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,37,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,20,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,58,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,42,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,20,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,21,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,32,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,86,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,22,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Пшено,Мешок,50,Крупы,14,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,11,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,88,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,9,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,22,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,37,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,41,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,8,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,22,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,26,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,22,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,51,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,65,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,12,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,118,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,12,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,15,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,84,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,49,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,61,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,198,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,24,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,55,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,7,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Овсянка,Мешок,20,Крупы,41,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,5,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,58,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,37,0.0,1.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Асорти""",Коробка,"0,4",Кондитерские изделия,63,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,75,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,29,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,11,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,8,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа манная,Мешок,50,Крупы,16,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,41,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,87,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Fine Line,Блок,"0,2",Табачные изделия,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,19,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты Петр 1,Блок,"0,2",Табачные изделия,19,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,13,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,5,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Крупа перловая,Мешок,50,Крупы,46,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Пшено,Мешок,50,Крупы,36,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,14,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты LM,Блок,"0,2",Табачные изделия,12,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Сигареты MarlBoro,Блок,"0,2",Табачные изделия,6,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Гречка,Мешок,50,Крупы,23,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Ананасные""",Коробка,"0,3",Кондитерские изделия,21,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Весна""",Коробка,"0,5",Кондитерские изделия,6,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
"Конфеты ""Визит""",Коробка,"0,6",Кондитерские изделия,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Пшено,Мешок,50,Крупы,32,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
Рис,Мешок,50,Крупы,18,0.0,0.0,Гермес,Ангарск,Богатырский,0.0
