Товар,Продавец,Всего_количество,Общая_сумма,Число_продаж
Овсянка,СибАтом,91,0.0,3
Крупа перловая,Ромашка,90,0.0,4
Сигареты Петр 1,Единство,87,0.0,2
Сигареты Fine Line,Успех,81,0.0,5
"Конфеты ""Ананасные""",СибАтом,78,0.0,4
Пшено,Плюс,78,0.0,3
Сигареты Петр 1,Фокус,77,0.0,6
Сигареты Петр 1,СибАтом,75,0.0,3
"Конфеты ""Визит""",Тор,61,0.0,1
Гречка,Успех,60,0.0,2
"Конфеты ""Весна""",Плюс,56,374.0,3
Сигареты LM,СибАтом,51,3036.0,2
Сигареты MarlBoro,Тор,50,0.0,1
Крупа перловая,Норд,47,0.0,3
Сигареты Петр 1,Тор,41,0.0,3
Овсянка,Единство,37,0.0,3
"Конфеты ""Ананасные""",Фокус,36,0.0,2
Крупа манная,Плюс,35,0.0,2
Гречка,Единство,32,0.0,2
Сигареты LM,Плюс,30,0.0,1
"Конфеты ""Ананасные""",Норд,28,0.0,1
"Конфеты ""Асорти""",Норд,25,0.0,3
Сигареты Fine Line,Единство,21,0.0,2
"Конфеты ""Визит""",Плюс,16,0.0,1
Крупа перловая,Плюс,13,0.0,1
Рис,Фокус,9,0.0,1
